id,class
2411,Grouped vertical bar
122904,Horizontal box
98287,Scatter
67744,Donut
5880,Grouped vertical bar
19035,Stacked horizontal bar
148134,Vertical box
119319,Scatter
7612,Grouped horizontal bar
89507,Scatter
114690,Scatter
412,Grouped vertical bar
140647,Vertical box
7782,Grouped horizontal bar
109187,Scatter
189046,Line
171659,Line
31500,Stacked horizontal bar
198126,Line
71010,Donut
182069,Line
112014,Scatter
88207,Scatter
82663,Scatter
185457,Line
199586,Line
108438,Scatter
37765,Stacked horizontal bar
188886,Line
173547,Line
142367,Vertical box
131508,Horizontal box
158931,Horizontal box
8691,Grouped vertical bar
114500,Scatter
63810,Donut
175866,Line
128359,Vertical box
180671,Line
1634,Grouped vertical bar
107056,Scatter
90257,Scatter
187947,Line
72345,Donut
75600,Donut
158755,Horizontal box
27601,Stacked horizontal bar
15869,Stacked vertical bar
186669,Line
94225,Scatter
21410,Stacked vertical bar
25266,Stacked vertical bar
94740,Scatter
162086,Line
84492,Scatter
17583,Stacked vertical bar
38176,Stacked horizontal bar
185122,Line
41487,Pie
97888,Scatter
44328,Pie
103350,Scatter
12688,Grouped vertical bar
147180,Vertical box
8771,Grouped horizontal bar
100163,Scatter
12648,Grouped vertical bar
33315,Stacked horizontal bar
191030,Line
22987,Stacked horizontal bar
9199,Grouped vertical bar
162048,Line
159729,Vertical box
190722,Line
28347,Stacked vertical bar
140487,Horizontal box
89465,Scatter
161276,Line
162171,Line
107225,Scatter
115329,Scatter
26768,Stacked horizontal bar
197417,Line
2848,Grouped horizontal bar
15295,Stacked horizontal bar
10484,Grouped horizontal bar
179111,Line
57204,Pie
167600,Line
62474,Donut
146419,Vertical box
84140,Scatter
116395,Scatter
76487,Donut
93855,Scatter
161526,Line
134214,Horizontal box
87579,Scatter
86753,Scatter
191057,Line
139673,Horizontal box
65527,Donut
9326,Grouped horizontal bar
75943,Donut
39673,Stacked vertical bar
178080,Line
123852,Vertical box
63158,Donut
153119,Horizontal box
143212,Horizontal box
57865,Pie
42993,Pie
152225,Vertical box
126404,Vertical box
383,Grouped vertical bar
112047,Scatter
50614,Pie
86859,Scatter
126446,Vertical box
80830,Scatter
193857,Line
34687,Stacked vertical bar
78614,Donut
96198,Scatter
8171,Grouped horizontal bar
71229,Donut
92585,Scatter
82603,Scatter
153107,Vertical box
151898,Horizontal box
128222,Horizontal box
16789,Stacked vertical bar
80638,Scatter
136163,Horizontal box
80822,Scatter
182681,Line
195249,Line
149369,Horizontal box
2786,Grouped vertical bar
79958,Donut
2311,Grouped vertical bar
146320,Vertical box
138439,Horizontal box
14084,Grouped horizontal bar
158545,Vertical box
152974,Horizontal box
2038,Grouped vertical bar
19282,Stacked vertical bar
109900,Scatter
36762,Stacked vertical bar
163479,Line
132033,Vertical box
47230,Pie
74638,Donut
20913,Stacked vertical bar
98777,Scatter
34986,Stacked horizontal bar
81407,Scatter
82516,Scatter
24799,Stacked horizontal bar
198722,Line
170493,Line
75416,Donut
132706,Horizontal box
13043,Grouped horizontal bar
2250,Grouped horizontal bar
20038,Stacked horizontal bar
174332,Line
196998,Line
65642,Donut
162741,Line
34238,Stacked horizontal bar
124033,Horizontal box
42268,Grouped horizontal bar
31918,Stacked horizontal bar
10542,Grouped vertical bar
152637,Vertical box
69537,Donut
68573,Donut
22975,Stacked vertical bar
151224,Horizontal box
82064,Scatter
81620,Scatter
46487,Scatter
151262,Horizontal box
161033,Line
89763,Scatter
54869,Line
8239,Grouped vertical bar
190808,Line
78467,Donut
81567,Scatter
188772,Line
33673,Stacked vertical bar
158280,Horizontal box
37989,Stacked vertical bar
144885,Vertical box
86521,Scatter
183008,Line
184454,Line
178585,Line
49107,Pie
14460,Grouped vertical bar
57231,Vertical box
143163,Horizontal box
93744,Scatter
99584,Scatter
145663,Vertical box
143896,Vertical box
81622,Scatter
122398,Horizontal box
111388,Scatter
2646,Grouped vertical bar
184751,Line
195200,Line
133938,Vertical box
177906,Line
127767,Vertical box
95745,Scatter
105402,Scatter
159011,Horizontal box
165264,Line
97714,Scatter
116523,Scatter
32874,Stacked vertical bar
89120,Scatter
109234,Scatter
161592,Line
52796,Horizontal box
173002,Line
44604,Scatter
121669,Horizontal box
91007,Scatter
180675,Line
52137,Stacked vertical bar
73248,Donut
56558,Stacked horizontal bar
68080,Donut
157661,Horizontal box
143786,Vertical box
76753,Donut
87179,Scatter
112990,Scatter
37545,Stacked horizontal bar
72895,Donut
186735,Line
40708,Horizontal box
141977,Horizontal box
147440,Vertical box
20549,Stacked vertical bar
111705,Scatter
150571,Horizontal box
148896,Vertical box
45043,Stacked vertical bar
194411,Line
14954,Grouped horizontal bar
99744,Scatter
78817,Donut
